cell.line,time.pt,drug,compound,unlabeled,labeled,,sample
MEF with Ras,16,No Trx,threonine,4770.52,145607.19,,Ras_NoTrx_16h_03
MEF with Ras,16,No Trx,threonine,4978.11,136734.06,,Ras_NoTrx_16h_02
MEF with Ras,16,No Trx,threonine,5291.28,106416.74,,Ras_NoTrx_16h_01
MEF no Ras,24,Torin,threonine,5716.3,149831.23,,NoRas_Torin_24h_04
MEF no Ras,24,Torin,threonine,6161.65,140884.75,,NoRas_Torin_24h_03
MEF no Ras,24,Torin,threonine,5975.23,147670.7,,NoRas_Torin_24h_02
MEF no Ras,24,Torin,threonine,6199.25,159212.22,,NoRas_Torin_24h_01
MEF no Ras,16,Torin,threonine,6096.71,155244.94,,NoRas_Torin_16h_03
MEF no Ras,16,Torin,threonine,5151.21,126646.22,,NoRas_Torin_16h_02
MEF no Ras,16,Torin,threonine,5220.81,157685.27,,NoRas_Torin_16h_01
MEF no Ras,24,PMA,threonine,5320.77,136102.03,,NoRas_PMA_24h_04
MEF no Ras,24,PMA,threonine,6454.4,145279.23,,NoRas_PMA_24h_03
MEF no Ras,24,PMA,threonine,6400.34,134657.36,,NoRas_PMA_24h_02
MEF no Ras,24,PMA,threonine,5890.5,140815.17,,NoRas_PMA_24h_01
MEF no Ras,16,PMA,threonine,4393.72,150647.92,,NoRas_PMA_16h_03
MEF no Ras,16,PMA,threonine,3497.9,134002.19,,NoRas_PMA_16h_02
MEF no Ras,16,PMA,threonine,4537.5,148270.5,,NoRas_PMA_16h_01
MEF no Ras,24,PDBU,threonine,6253.4,160432.17,,NoRas_PDBU_24h_04
MEF no Ras,24,PDBU,threonine,5784.8,168702.08,,NoRas_PDBU_24h_03
MEF no Ras,24,PDBU,threonine,5995.79,153690.75,,NoRas_PDBU_24h_02
MEF no Ras,24,PDBU,threonine,4147.95,141661.64,,NoRas_PDBU_24h_01
MEF no Ras,16,PDBU,threonine,4055.3,155132.17,,NoRas_PDBU_16h_03
MEF no Ras,16,PDBU,threonine,3573.88,149488.47,,NoRas_PDBU_16h_02
MEF no Ras,16,PDBU,threonine,4777.73,148756.38,,NoRas_PDBU_16h_01
MEF no Ras,24,No Trx,threonine,6042.06,102902.4,,NoRas_NoTrx_24h_04
MEF no Ras,24,No Trx,threonine,4385.96,160848.27,,NoRas_NoTrx_24h_03
MEF no Ras,24,No Trx,threonine,4823.95,129971.94,,NoRas_NoTrx_24h_02
MEF no Ras,24,No Trx,threonine,4430.28,127654.45,,NoRas_NoTrx_24h_01
MEF no Ras,16,No Trx,threonine,3700.39,165889.02,,NoRas_NoTrx_16h_03
MEF no Ras,16,No Trx,threonine,4470.22,160432.03,,NoRas_NoTrx_16h_02
MEF no Ras,16,No Trx,threonine,3930.31,154130.62,,NoRas_NoTrx_16h_01
common,DMEM,DMEM,threonine,411518.72,60.52,,DMEM_04
